university_name,university_financing_type_name
"Відокремлений структурний підрозділ ""Фаховий музичний коледж"" комунального вищого навчального закладу ""Дніпропетровська академія музики ім. М.Глінки"" Дніпропетровської обласної ради""",Комунальна
"Комунальний вищий навчальний заклад ""Дніпропетровська академія музики ім. М. Глінки""Дніпропетровської обласної ради""",Комунальна
"КОМУНАЛЬНИЙ ЗАКЛАД ВИЩОЇ ОСВІТИ ""ДНІПРОВСЬКА АКАДЕМІЯ НЕПЕРЕРВНОЇ ОСВІТИ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""",Комунальна
"Комунальний заклад ""Дніпропетровський фаховий мистецько-художній коледж культури"" Дніпропетровської обласної ради""",Комунальна
Комунальний заклад «Кам’янський фаховий музичний коледж імені Мирослава Скорика» Дніпропетровської обласної ради»,Комунальна
Комунальний заклад «Криворізький обласний фаховий музичний коледж» Дніпропетровської обласної ради»,Комунальна
"Комунальний заклад ""Криворізький фаховий медичний коледж"" Дніпропетровської обласної ради""",Комунальна
